DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
09-07-2015,497.68,500.73,492.15,493.65,404304,8910
10-07-2015,497.33,501.88,495.2,500.78,327762,8844
13-07-2015,500.5,506.13,497.7,503.6,433427,8746
14-07-2015,504.2,505.73,497.63,498.8,301854,7040
15-07-2015,500,507,499.5,505.7,495718,8325
16-07-2015,506.25,513.75,505.7,511.83,511991,13218
17-07-2015,511.5,515.5,509,511.08,405333,9901
20-07-2015,513.05,514.95,509.05,512.38,307533,7852
21-07-2015,513.35,514,501.45,503.75,262687,5504
22-07-2015,503.65,526.75,502.58,525.23,825916,18331
23-07-2015,527.5,533.5,520.5,522.83,610364,15739
24-07-2015,523.1,525,510.8,512.53,290271,9852
27-07-2015,513.5,517.5,500.65,502.9,437703,18669
28-07-2015,504.75,508.38,500.13,504.98,323485,10939
29-07-2015,506,506.23,496.1,497.73,240152,8393
30-07-2015,500.85,504,496.53,499.65,299237,9014
31-07-2015,501,503.95,495,500.83,351772,9224
03-08-2015,500.58,506.6,499.1,500.58,325060,7120
04-08-2015,500.63,502.73,490.08,494.05,355105,10866
05-08-2015,495,500,492,493.83,262896,6799
06-08-2015,497,497,489,489.7,239574,6978
07-08-2015,490.5,497,487.65,492.13,249891,6606
10-08-2015,492.5,494.9,483.13,485.05,192667,6577
11-08-2015,488,488,479.28,483.18,269415,8537
12-08-2015,483.18,483.18,470.08,471.53,391422,9943
13-08-2015,474,477.05,465.63,467.45,226828,7486
14-08-2015,469.3,485.98,467.45,483.53,376123,10717
17-08-2015,483.5,483.53,473.65,475.03,278342,9709
18-08-2015,477.6,479.43,471,472.18,262895,8646
19-08-2015,472.45,480.23,469.83,476.35,299152,9049
20-08-2015,479.95,480,458.13,459.43,439271,13714
21-08-2015,455,455.9,448.68,453.65,559054,19770
24-08-2015,445,445,409.5,414.48,915064,25268
25-08-2015,420,430.5,412.2,426.45,680620,16540
26-08-2015,423.95,437.4,420.73,426.73,398419,10840
27-08-2015,434.15,440,428.83,434.78,338333,10403
28-08-2015,439.78,441.5,433.05,435.6,239263,8608
31-08-2015,435.13,435.6,427.25,428.4,352115,7150
01-09-2015,426.28,426.5,417.6,420.08,670601,12857
02-09-2015,425,428.48,421.65,424.65,368125,10196
03-09-2015,426.95,430.2,422.53,426.88,207655,6354
04-09-2015,423.55,425.18,412.63,417.8,636304,12469
07-09-2015,418.5,422,413.88,416.53,177756,5562
08-09-2015,418,426.6,413,424.48,288488,8512
09-09-2015,429.5,439.25,425.68,436.53,410854,9521
10-09-2015,430.05,435,428,433.48,368560,7536
11-09-2015,436.68,438.15,428.65,430.53,363751,7850
14-09-2015,430.9,432.2,426.05,431.53,244111,8204
15-09-2015,431,434.83,428.1,433.78,332748,6013
16-09-2015,435,438.7,432.5,436.05,283855,5986
18-09-2015,438.75,449.5,438.55,447.55,558538,9260
21-09-2015,440,443.88,437.85,438.85,177131,5106
22-09-2015,440.05,442.23,422.5,423.73,723862,11738
23-09-2015,420,428.38,420,425.7,416233,7535
24-09-2015,424,424,417.53,418.95,730116,14038
28-09-2015,418.95,420.45,415,417.18,778144,8841
29-09-2015,414.5,424.65,413.28,419.58,436844,9814
30-09-2015,424.03,431.5,419.3,430.25,345752,8835
01-10-2015,436,436.25,429.4,431.15,173286,6118
05-10-2015,432.5,444.95,431.25,443.13,369010,9673
06-10-2015,446.55,449.5,442.78,447.95,233928,6473
07-10-2015,447.9,458.5,445.03,456.93,320860,9827
08-10-2015,457.08,457.5,443.3,444.58,293575,9218
09-10-2015,448.43,452.45,441.05,443.18,252976,7795
12-10-2015,445,450.33,444.25,446.03,144413,4292
13-10-2015,443.9,447.5,441.5,446.28,127540,4076
14-10-2015,446.58,452,446.15,451,167406,4923
15-10-2015,453.63,455.3,450.05,452,189822,5702
16-10-2015,452.5,457.35,452,456.1,232521,8129
19-10-2015,470.8,482.6,470.8,481.7,802090,22962
20-10-2015,481.5,483.4,475.55,477.73,206974,7181
21-10-2015,478,487,476.4,477.38,290037,9210
23-10-2015,481.05,486.68,475.4,477.93,239795,7265
26-10-2015,479.03,481.5,470,471.5,151129,4227
27-10-2015,470.9,473.88,468.75,469.6,142859,4432
28-10-2015,469,472.25,465.18,468.63,140606,4750
29-10-2015,469.4,472.48,467.75,470.78,122316,4102
30-10-2015,470.78,477.88,470.4,473.93,172739,6341
02-11-2015,473.05,480.25,472.63,479.58,156238,5260
03-11-2015,481,485,481,483.2,181908,6062
04-11-2015,486,487.5,473.35,476.05,172804,5939
05-11-2015,475.5,475.75,466.53,468.43,243728,5288
06-11-2015,469,477,469,476.23,175476,7708
09-11-2015,467.5,481.13,462.5,480,267514,8720
10-11-2015,478.55,479.48,458.5,460.98,278248,9817
11-11-2015,464,466.5,463.5,464.48,85638,2641
13-11-2015,459,468.58,457.5,465.1,275272,7902
16-11-2015,464.5,470.9,462.35,466.53,397081,8783
17-11-2015,468.35,469.35,462.98,463.75,171497,4516
18-11-2015,463.5,465.83,455,456.18,229960,7593
19-11-2015,459.75,468.75,459,467.1,225990,9021
20-11-2015,467.7,476.05,462.7,472.98,303967,7996
23-11-2015,473.78,477.83,472.83,476.05,166800,6314
24-11-2015,476.03,485.5,475.38,484,228414,8926
26-11-2015,484.95,495.3,484.23,493.85,300255,10162
27-11-2015,495,496,487.18,489.53,169451,7269
30-11-2015,488.58,491.9,482,484,171638,6091
01-12-2015,483.2,489.25,481,482.78,169237,5572
02-12-2015,483.2,489.3,482.9,488.3,169060,6145
03-12-2015,488.75,494.13,486.68,488.4,316800,6790
04-12-2015,486.75,488,480.95,482.88,183717,5454
07-12-2015,483.5,486.45,475.5,476.85,192243,6620
08-12-2015,475.05,477,468.85,471.23,223479,6276
09-12-2015,470,472.18,456.5,457.98,351669,9070
10-12-2015,460.58,476.7,460.13,474.95,388912,12770
11-12-2015,475.05,479.43,471.45,476.13,370539,10566
14-12-2015,473.25,481.35,473.25,477.73,252147,6800
15-12-2015,478,488.95,476.5,487.95,244609,9608
16-12-2015,486.7,493.45,486.7,489,187540,6813
17-12-2015,490.13,506.63,489,504.18,574220,14343
18-12-2015,501.5,504.5,495.08,496.03,252773,7715
21-12-2015,494.28,499.1,492.5,496.13,267805,7715
22-12-2015,495.55,501.25,492,493.75,263406,6907
23-12-2015,496.7,503,495.45,501.78,227045,7718
24-12-2015,502.75,504,498.05,500.45,146409,5043
28-12-2015,502,506.78,500.5,504.28,291670,7068
29-12-2015,506.5,509.25,503.75,507.58,248983,6346
30-12-2015,507.85,508.5,501.05,502.43,103873,3532
31-12-2015,502,508.5,500,506.3,241436,8165
01-01-2016,505,510,504.38,507.68,328595,6141
04-01-2016,503,507.1,493.65,497.7,273627,8604
05-01-2016,501,505,498.43,502.55,294671,5588
06-01-2016,502.5,519,500.28,515.98,949981,31274
07-01-2016,511.9,513.8,504.13,505.78,374543,9578
08-01-2016,509.5,516.08,500.03,512.03,7008317,27081
11-01-2016,505.5,529.98,505.5,525.78,861434,22283
12-01-2016,527,532.5,520.53,522.55,451258,14934
